"filename", "language", "HTML", "Python", "comment", "blank", "total"
"/Users/gaojiaye/CSECc/CSEC/code/main.py", "Python", 0, 64, 0, 1, 65
"/Users/gaojiaye/CSECc/CSEC/code/templates/index.html", "HTML", 96, 0, 0, 13, 109
"/Users/gaojiaye/CSECc/CSEC/code/templates/index1.html", "HTML", 95, 0, 0, 12, 107
"/Users/gaojiaye/CSECc/CSEC/code/templates/index2.html", "HTML", 92, 0, 0, 12, 104
"Total", "-", 283, 64, 0, 38, 385
